GRE,Rank,SOP,LOR ,CGPA,Research,Admit
329,4,4.5,4.5,9.18,1,1
338,4,3.5,4.5,9.46,1,1
331,5,5,5,9.38,1,1
304,5,5,4,8.64,0,0
305,5,3,3,8.48,0,0
321,4,4,4,8.68,1,0
301,3,3.5,3.5,8.34,1,0
320,2,4,3.5,8.56,0,1
311,3,3.5,3,8.45,1,0
310,4,4.5,4.5,9.04,1,0
299,3,4,3.5,8.62,0,0
290,4,2,2.5,7.46,0,0
296,2,3,3.5,7.28,0,0
327,5,3,3.5,8.84,1,1
335,5,5,5,9.56,1,1
334,5,4.5,4.5,9.48,1,1
310,4,1.5,2.5,8.36,0,0
308,3,3.5,3.5,8.22,0,0
301,4,2.5,3,8.47,0,0
300,3,2,3,8.66,1,0
323,3,4,3,9.32,1,1
319,3,2.5,2,8.71,1,1
326,3,3.5,3,9.1,1,1
333,5,5,5,9.35,1,1
339,5,4,4.5,9.76,1,1
303,5,5,4.5,8.65,0,1
309,5,3.5,3.5,8.56,0,1
323,5,4,4.5,8.78,0,1
333,5,4,4,9.28,1,1
314,4,3.5,4,8.77,1,1
312,3,5,4,8.45,0,1
316,2,1.5,3,8.16,1,1
326,2,4.5,3,9.08,1,1
318,1,3.5,3.5,9.12,0,1
329,2,4,3,9.15,1,1
332,2,4.5,3.5,9.36,1,1
331,5,4,3.5,9.44,1,1
340,4,4.5,4,9.92,1,1
325,2,3,3.5,8.96,1,1
320,2,2,2.5,8.64,1,1
315,3,2,2.5,8.48,0,1
326,3,3,3,9.11,1,1
339,4,4,3.5,9.8,1,1
311,2,3.5,3,8.26,1,1
334,4,4,4,9.43,1,1
332,5,5,5,9.28,1,1
321,5,5,5,9.06,1,1
324,3,3,4,8.75,0,1
326,3,3,3.5,8.89,0,1
312,3,3,3,8.69,0,1
315,3,2,2.5,8.34,0,0
309,2,2,2.5,8.26,0,0
306,2,2,2.5,8.14,0,0
297,1,1.5,2,7.9,0,0
315,1,1.5,2,7.86,0,0
298,1,1.5,3,7.46,0,0
318,3,3,3,8.5,0,0
317,3,3.5,3,8.56,0,0
329,4,4.5,4,9.01,1,1
322,5,4.5,4,8.97,0,1
302,3,3.5,5,8.33,0,0
313,3,2,3,8.27,0,0
293,2,2,4,7.8,1,0
311,2,2.5,3,7.98,0,0
312,2,2.5,3.5,8.04,1,0
334,5,4,4.5,9.07,1,1
322,4,4,5,9.13,1,1
323,4,4,4.5,9.23,1,1
321,4,4,4,8.97,1,1
320,4,4.5,3.5,8.87,1,1
329,4,4.5,4.5,9.16,1,1
319,3,3.5,3.5,9.04,0,1
309,3,2.5,3,8.12,0,1
307,3,3,3,8.27,0,1
300,3,3.5,3,8.16,0,1
305,2,2.5,2.5,8.42,0,1
299,2,3,3.5,7.88,0,0
314,3,4,4,8.8,0,1
316,2,2.5,4,8.32,0,1
327,4,4.5,4.5,9.11,1,1
317,3,3.5,3,8.68,1,1
335,5,4.5,3.5,9.44,1,1
331,5,4.5,3.5,9.36,1,1
324,5,5,5,9.08,1,1
324,5,4.5,4,9.16,1,1
323,5,4,5,8.98,1,1
322,5,4.5,4,8.94,1,1
336,5,4.5,5,9.53,1,1
316,3,3.5,3,8.76,0,1
307,2,3,3.5,8.52,1,1
306,2,3,2.5,8.26,0,1
310,2,3.5,2.5,8.33,0,1
311,3,4.5,4.5,8.43,0,0
313,3,4,4.5,8.69,0,1
317,3,2.5,3,8.54,1,1
315,2,3.5,3,8.46,1,1
340,5,4.5,4.5,9.91,1,1
334,5,4,5,9.87,1,1
298,3,3.5,4,8.54,0,0
295,2,2.5,3,7.65,0,0
315,2,3.5,3,7.89,0,0
310,3,3.5,4,8.02,1,0
305,2,3,3,8.16,0,0
301,3,3.5,4,8.12,1,0
325,4,4.5,4,9.06,1,1
328,4,5,4,9.14,1,1
338,4,5,5,9.66,1,1
333,5,5,4.5,9.78,1,1
331,4,4.5,5,9.42,1,1
330,5,5,4.5,9.36,1,1
322,4,4.5,4.5,9.26,1,1
321,4,4,4,9.13,1,1
324,4,3,3.5,8.97,1,1
312,3,3.5,3.5,8.42,0,1
313,3,4,4,8.75,0,1
316,3,3.5,4,8.56,0,1
324,4,4.5,4,8.79,0,1
308,2,3,4,8.45,0,1
305,2,3,2,8.23,0,0
296,2,2.5,2.5,8.03,0,0
306,2,3.5,4,8.45,0,0
312,2,3.5,3,8.53,0,0
318,3,4,3.5,8.67,0,1
324,4,3,3,9.01,1,1
313,3,4,4.5,8.65,0,1
319,3,3.5,2.5,8.33,1,1
312,2,2.5,3.5,8.27,0,0
304,2,2.5,3.5,8.07,0,0
330,5,5,4,9.31,1,1
326,5,4.5,4,9.23,1,1
325,4,4,4.5,9.17,1,1
329,5,4.5,5,9.19,1,1
310,3,2,3.5,8.37,0,0
299,1,1.5,2,7.89,0,0
296,1,2.5,3,7.68,0,0
317,2,2.5,2,8.15,0,0
324,3,3.5,3,8.76,1,0
325,3,3.5,3,9.04,1,1
314,2,2.5,4,8.56,0,0
328,4,4,2.5,9.02,1,1
316,3,3,3.5,8.73,0,1
311,2,2.5,3.5,8.48,0,1
324,3,3.5,4,8.87,1,1
321,3,3.5,4,8.83,1,1
320,3,3,2.5,8.57,1,1
316,2,2.5,3,9,0,0
318,2,2.5,3.5,8.54,1,1
335,4,4.5,4.5,9.68,1,1
321,4,4,5,9.12,0,1
307,4,4,4.5,8.37,0,1
309,3,4,4,8.56,0,1
324,3,4,5,8.64,1,1
326,4,5,5,8.76,1,1
331,4,5,4.5,9.34,1,1
327,5,5,3.5,9.13,1,1
312,3,3.5,4,8.09,0,1
308,2,2.5,4,8.36,1,0
324,3,2.5,1.5,8.79,1,0
325,2,3,2.5,8.76,1,1
313,3,2.5,2.5,8.68,0,1
312,2,2,2.5,8.45,0,1
314,3,3,3.5,8.17,1,1
327,4,4.5,5,9.14,0,1
308,4,4.5,5,8.34,0,1
306,2,2.5,3,8.22,1,1
299,2,1.5,2,7.86,0,0
294,1,1.5,1.5,7.64,0,0
312,1,1,1.5,8.01,1,0
315,1,2,2.5,7.95,0,0
322,3,3.5,3,8.96,1,1
329,5,5,4.5,9.45,1,1
320,2,2.5,3,8.62,0,0
308,2,3,3.5,8.49,0,0
304,2,3,4,8.73,0,0
311,3,4.5,4,8.64,1,0
317,3,4,4.5,9.11,1,1
312,3,4,3.5,8.79,1,1
321,3,2.5,3,8.9,1,1
340,4,5,4.5,9.66,1,1
331,5,4,4,9.26,1,1
336,5,4.5,4,9.19,1,1
324,5,5,4.5,9.08,1,1
314,4,5,5,9.02,0,1
313,3,4,3.5,9,0,1
307,2,2.5,3,7.65,0,0
300,2,1.5,2,7.87,0,0
302,2,1,2,7.97,0,0
312,1,3.5,3,8.18,1,0
316,2,2.5,2,8.32,1,0
317,2,3,2.5,8.57,0,0
310,3,3.5,3.5,8.67,0,1
320,3,4,4.5,9.11,0,1
330,3,4.5,4.5,9.24,1,1
305,3,3,3.5,8.65,0,1
309,2,2.5,2.5,8,0,0
319,2,2.5,3,8.76,0,0
322,2,3,3,8.45,1,0
323,3,3.5,3.5,8.55,1,1
313,2,2.5,2,8.43,0,0
321,3,3.5,3.5,8.8,1,1
323,3,4,3.5,9.1,1,1
325,4,4,4,9,1,1
312,3,3.5,3,8.53,0,0
308,4,3.5,3,8.6,0,0
320,3,3,3.5,8.74,1,1
328,4,4.5,4,9.18,1,1
311,4,4.5,4.5,9,1,1
301,3,3.5,3,8.04,0,0
305,2,3,4,8.13,0,0
308,2,2.5,3,8.07,0,0
298,2,1.5,2,7.86,0,0
300,1,1,2.5,8.01,0,0
324,3,2.5,2,8.8,1,1
327,4,3.5,3,8.69,1,1
317,3,4,3.5,8.5,1,1
323,3,4,4,8.44,1,1
314,2,2.5,4,8.27,0,1
305,2,2,2.5,8.18,0,0
315,3,3,2.5,8.33,0,0
326,3,3.5,4,9.14,1,1
299,3,2,2,8.02,0,0
295,2,2.5,2,7.86,0,0
324,4,4,3.5,8.77,1,1
297,2,2.5,1.5,7.89,0,0
327,3,3.5,3,8.66,1,1
311,2,3,2,8.12,1,1
308,3,3.5,2.5,8.21,1,1
319,3,3,3.5,8.54,1,1
312,4,4.5,4,8.65,1,1
325,4,4,4.5,9.11,1,1
319,3,3,2.5,8.79,0,1
332,5,5,5,9.47,1,1
323,5,4,4,8.74,1,1
324,5,3.5,4,8.66,1,1
312,3,3,3,8.46,1,1
326,3,3.5,3.5,8.76,1,1
308,3,3,3,8.24,0,0
305,2,2.5,3.5,8.13,0,0
295,2,1.5,2,7.34,0,0
316,1,1.5,2,7.43,0,0
304,2,1.5,2,7.64,0,0
299,1,1,1,7.34,0,0
302,1,2,2,7.25,0,0
313,3,2.5,3,8.04,0,0
318,3,3,3.5,8.27,1,1
325,4,3.5,4,8.67,1,1
303,2,3,3.5,8.06,1,0
300,3,3.5,2.5,8.17,0,0
297,2,2.5,3,7.67,0,0
317,2,2,3.5,8.12,0,1
327,3,3.5,4,8.77,1,1
301,2,3.5,3.5,7.89,1,0
314,2,2.5,2,7.64,0,0
321,2,2,1.5,8.44,0,1
322,3,4,5,8.64,1,1
334,4,4,3.5,9.54,1,1
338,5,4.5,5,9.23,1,1
306,2,2.5,3,8.36,0,0
313,3,3.5,4,8.9,1,1
330,4,4.5,3,9.17,1,1
320,3,3.5,4.5,8.34,1,1
311,1,1,2.5,7.46,0,0
298,1,2,2,7.88,0,0
301,1,2,3,8.03,1,0
310,2,2.5,2.5,8.24,0,1
324,3,3.5,3,9.22,1,1
336,4,4.5,4,9.62,1,1
321,3,3,3,8.54,1,1
315,2,2,2.5,7.65,0,0
304,2,2,2.5,7.66,0,0
297,2,2.5,2,7.43,0,0
290,1,1.5,2,7.56,0,0
303,1,2,2.5,7.65,0,0
311,1,2.5,3,8.43,1,1
322,3,3.5,4,8.84,1,1
319,3,3,3.5,8.67,1,1
324,4,4.5,4,9.15,1,1
300,3,3,3.5,8.26,0,0
340,4,5,5,9.74,1,1
335,5,5,5,9.82,1,1
302,2,2.5,3.5,7.96,0,0
307,2,2,3.5,8.1,0,0
296,2,1.5,2,7.8,0,0
320,3,3.5,4,8.44,1,1
314,2,2,2.5,8.24,0,0
318,3,2,3,8.65,0,1
326,4,4,3.5,9.12,1,1
317,2,3,3,8.76,0,1
329,4,4.5,4,9.23,1,1
324,3,3.5,3.5,9.04,1,1
325,3,3,3.5,9.11,1,1
330,4,5,4.5,9.45,1,1
312,3,3.5,4,8.78,0,0
333,4,5,4,9.66,1,1
304,2,3.5,3,8.22,0,0
315,2,3,3,8.34,0,0
324,3,3.5,3,8.94,1,1
330,4,4,3.5,9.23,1,1
311,3,2,2.5,7.64,1,0
302,3,2.5,3,7.45,0,0
322,4,3,2.5,8.02,1,0
298,3,2.5,4,7.95,1,0
297,3,2,4,7.67,1,0
300,1,2,2.5,8.02,0,0
301,1,3,4,7.56,0,0
313,2,2.5,1.5,8.13,0,0
314,4,2.5,2,7.88,1,0
317,3,3,2,7.94,1,0
321,4,3.5,4,8.35,1,1
327,4,4,4.5,8.75,1,1
315,3,4,2.5,8.1,0,0
316,3,3.5,2,7.68,0,0
309,2,2.5,4,8.03,0,0
308,2,2,3.5,7.98,1,0
299,3,2,3,7.42,0,0
321,3,3,4.5,8.95,1,1
322,4,3.5,2.5,9.02,1,1
334,5,4.5,5,9.54,1,1
325,5,4,5,9.46,1,1
323,5,4,5,9.86,1,1
312,3,3,5,8.57,0,1
310,3,3.5,5,8.65,1,1
316,2,2,4.5,8.74,0,0
340,5,5,4.5,9.06,1,1
311,3,4,3.5,8.13,1,1
320,2,3.5,3.5,8.78,1,1
324,4,4.5,4,9.22,1,1
316,4,4,5,8.54,0,1
306,3,3.5,3,8.21,0,0
309,2,2.5,4,7.68,0,0
310,1,1.5,4,7.23,1,0
317,1,1.5,3.5,7.65,1,0
318,1,2.5,3.5,8.54,1,0
312,2,1.5,3,8.46,0,0
305,2,2.5,1.5,7.79,0,0
332,1,1.5,3,8.66,1,1
331,4,4.5,4.5,9.44,1,1
321,5,4.5,4.5,9.16,1,1
324,5,4,5,9.25,1,1
328,5,4.5,5,9.08,1,1
327,4,5,5,9.67,1,1
320,3,3.5,5,8.97,1,1
312,2,2.5,4,9.02,0,1
315,3,3.5,4.5,9.13,0,1
320,4,3,4.5,8.86,1,1
324,4,4.5,4.5,9.25,1,1
328,4,5,3.5,9.6,1,1
319,3,2.5,4,8.76,1,1
310,2,3,3.5,8.01,0,1
305,2,1.5,2.5,7.64,0,0
299,2,2,2,7.88,0,0
295,1,2,1.5,7.57,0,0
312,1,3,3,8.53,1,0
329,4,4,3.5,9.36,1,1
319,4,4,4.5,8.66,1,1
301,3,2.5,2,8.13,1,0
307,4,3,3,7.94,0,0
304,3,3.5,3,7.86,0,0
298,2,2,3,7.21,0,0
305,4,3,4.5,8.26,0,0
314,4,3.5,4.5,8.73,1,1
318,5,3.5,5,8.78,1,1
323,4,4,5,8.88,1,1
326,4,4,3.5,9.16,1,1
320,5,4,4,9.27,1,1
311,3,2,4,8.09,0,0
327,4,4,4.5,9.48,1,1
316,2,4,3.5,8.15,0,0
308,4,3,2.5,7.95,1,0
300,3,3.5,2.5,7.88,0,0
304,3,2.5,2,8.12,0,0
309,4,3.5,2,8.18,0,0
318,3,4,4.5,8.49,1,1
325,4,4.5,4,8.96,1,1
321,3,3.5,4,9.01,1,1
323,4,3,2.5,8.48,1,1
328,4,4,2.5,8.77,1,1
304,5,5,3,7.92,0,1
317,3,3.5,3,7.89,1,1
311,2,2.5,3.5,8.34,1,0
319,3,2.5,2.5,8.37,0,0
327,4,3.5,4,9.14,0,1
322,3,3,4,8.62,1,1
302,3,4,4.5,8.5,0,0
307,2,2.5,4.5,8.12,1,0
297,4,3,3.5,7.81,0,0
298,4,2.5,4.5,7.69,1,0
300,2,3,1.5,8.22,1,0
301,3,2.5,2,8.45,1,0
332,5,4.5,4,9.02,1,1
337,5,5,5,9.87,1,1
330,5,4.5,5,9.56,1,1
312,4,4,5,8.43,0,1
327,4,4.5,4.5,9.04,0,1
